host,external_salon_id,salon_name,external_therapist_id,therapist_url,fetch_status,http_status,parsed_count,sample_records,error
39bonbon.jp,1f1b29d9-54d0-4681-a437-805f83a27d7e,39サロン BonBon ～ボンボン～,dfddcc41-dccc-4ce3-b243-e31fd452595e,https://39bonbon.jp/profile?id=106,ok,200,0,[],
7dream-este.net,edc5c23f-6b2b-4724-add6-d38337284d10,セブンドリームエステ,5c8b8fbc-03dd-490e-8262-1ccdb7493785,https://7dream-este.net/profile?id=172,ok,200,0,[],
a-elegance.com,08d30d58-74bc-45a0-86ea-7d232e0f4596,アロマエレガンス,840e9834-079b-4a6c-b2af-a3b2b3821e2b,https://a-elegance.com/cast/detail.php?girl=579,ok,200,0,[],
a-emerald.com,6cc15b0d-ec6c-43b3-8a4d-75cb76148979,アロマエメラルド,cda1fe7f-cbac-4fd6-ae6d-0682e2aa404d,https://a-emerald.com/cast/cast-2056/,ok,200,0,[],
a-ruby.com,6cc15b0d-ec6c-43b3-8a4d-75cb76148979,アロマエメラルド,36abcb8c-f1ae-4565-bb69-1ff868839a43,https://a-ruby.com/cast/cast-517/,fetch_error,,0,,fetch failed
a-station-kasukabe.com,2da0016e-4891-45f1-9513-1f8756246a6b,エーステーション,06089bd6-265e-4d48-90d4-1bb9d2dd21eb,https://a-station-kasukabe.com/cast/cast-2343/,ok,200,0,[],
adam-eve-esthe.com,b94d7582-3973-4cdd-a493-68c783a960af,アダム＆イブ,ecdfc012-f813-43b5-8858-47db67683ca5,https://adam-eve-esthe.com/profile?lid=17,ok,200,0,[],
adollhiroshima.com,6e932a6a-a00a-4c72-bed0-b5c457910e46,アドール,13801c43-99b4-4b9a-a187-df4a9dfbb5cb,https://adollhiroshima.com/therapist/606168/,ok,200,0,[],
aesthetic-kokura.com,58c67959-d168-4351-8054-40f4fc1cd45a,シェリー 小倉,8bc8f971-7452-43d8-8726-b8455bf460db,https://aesthetic-kokura.com/profile?lid=22,ok,200,0,[],
akari-kobe.net,88f0cd68-2ab5-4eb1-9287-5962501d476b,灯 三宮,53b5d9c5-0307-496a-a187-a18cd0a04a37,https://akari-kobe.net/profile?id=30,ok,200,0,[],
akitsu.kyokonoshimai.jp,a6620ca1-16c3-4645-9c80-cf409581ebfc,今日子の姉妹 秋津,5a671f3d-b366-4c28-af0a-a6026bcaf133,https://akitsu.kyokonoshimai.jp/therapist/IDMZWEHP,ok,200,0,[],
akua-n24sapporo.com,42ba21fc-6639-4bbd-be3c-c197c92f1d97,ラグジュアリースパ アクア,33677d20-e45d-40a6-b518-311d98fcf41d,https://akua-n24sapporo.com/therapist/247926/,ok,200,0,[],
alfard.holy-land.jp,6e5dfed1-7d35-4fac-8495-bd896efd6365,アルファード,23725e08-cb18-42e1-ada0-c096aa839f58,https://alfard.holy-land.jp/staff/prof/nao.php,ok,200,0,[],
allureterrace-matsuyama.com,dd117035-7b4e-45b3-be7e-49902fc36a29,アルール,b7fcd43f-694a-45b2-afbc-47c5c70b9107,https://allureterrace-matsuyama.com/therapist/609062/,ok,200,0,[],
alto-akashi.com,a1661662-9201-49fd-95dd-34b01cf3f2a2,Alto,1d1c770a-3dc1-4a25-99af-656df9170b20,https://alto-akashi.com/therapist/781313/,ok,200,0,[],
alyo.net,1c521f59-5c2e-407e-a0a3-377df4f7bbb8,アルヨ (ALYO),39046153-f0c6-4f96-859a-03f387297dfe,https://alyo.net/list/profile/?uid=264,ok,200,0,[],
amaou-therapi.jp,4d051648-cb45-482b-8e21-6541bace1def,ミセスあまおうセラピ 旧ミセスマドンナ,b39d0fa6-ddbc-43c4-983e-d3cdc569eeef,https://amaou-therapi.jp/lady_detail.php?lady_num=127846,http_error,404,0,,HTTP 404 https://amaou-therapi.jp/lady_detail.php?lady_num=127846
amateras-osaka.com,4779e078-c4e1-4adf-9a41-60a245fce52c,アマテラス,d5ec0f9d-5634-4674-b537-345a616e56bf,https://amateras-osaka.com/profile?id=60,ok,200,0,[],
amazespa-ota.com,b0bfe249-de55-47a6-9c84-25aa2f05de7e,ルアナスパ 太田 旧アメイズスパ太田,53821723-e7ab-4f74-bd11-ecefa0afd672,https://amazespa-ota.com/profile_58.html,fetch_error,,0,,fetch failed
ambitious-omiya.com,ae8129a6-0a67-4efc-b23f-9a22342d7d15,アンビシャス 大宮,3beda94d-e065-4bd8-ae22-3fcc8c700ea0,https://ambitious-omiya.com/cast/cast-1887/,ok,200,0,[],
amour-blanc.com,c08d6455-26d9-41a3-ac01-9bb7f65607b3,アムールブラン,04a81754-557f-48be-b901-a98c1c802128,https://amour-blanc.com/therapist/767863/,ok,200,0,[],
anaspacia.com,fcae7f27-e7ce-4164-8189-0f7a021d8c57,アナスパシア,0b52a46f-f65b-4234-b12d-d8c658dfcbae,https://anaspacia.com/%e6%a4%8e%e5%90%8d%e3%81%98%e3%82%85%e3%82%93/,ok,200,0,[],
anespa.men-este.net,8f6690d2-b600-4e5f-a773-1204ca8356f6,ゴールドアネスパ,da65f422-87ff-4c85-af19-9f4ab47a53f7,https://anespa.men-este.net/profile.html?sid=82,ok,200,0,[],
anessa-osaka.com,f925790b-5647-4a62-af73-e47e8703f566,ANESSA (アネッサ) 大阪,a8eaf8fd-5621-4566-bc36-c734fed604e6,https://anessa-osaka.com/profile?id=33,http_error,404,0,,HTTP 404 https://anessa-osaka.com/profile?id=33
ange-kanazawa.com,ede31e62-84d9-49ea-b9fc-fa99b2de128c,アンジュ 金沢店,6ad2aced-4485-4950-87eb-bc7bef2ff725,https://ange-kanazawa.com/item_10028813.html,ok,200,0,[],
aqua.esthe-hp.com,9cca5498-7bc0-47ca-9f9b-5296fb3fd354,アクア,8aa0081c-510f-44c4-ad80-1fae15692fb2,https://aqua.esthe-hp.com/item_10029419.html,ok,200,0,[],
